,Time1,DAU1,Time2,DAU2,Time3,DAU3,Time4,DAU4,Time5,DAU5,Time6,DAU6,Time7,DAU7,Time8,DAU8,Time9,DAU9,Time10,DAU10,Time11,DAU11,Time12,DAU12,Time13,DAU13,Time14,smbi,Time15,label
36,-3.399999999,0.001525879,-3.399999999,0.003356934,-3.399999999,0.001220703,-3.399999999,-0.003356934,-3.399999999,0.002136231,-3.399999999,0.002746582,-3.399999999,0.000305176,-3.399999999,0.003662109,-3.399999999,-0.002441406,-3.399999999,0.002746582,-3.399999999,0,-3.399999999,0.003356934,-3.399999999,0.000915527,-3.399999999,0.000178771,-2.399999999,0.03191067
37,-3.299999999,0.002136231,-3.299999999,0.003356934,-3.299999999,0.002136231,-3.299999999,0.001220703,-3.299999999,0.002136231,-3.299999999,0.002746582,-3.299999999,0.000305176,-3.299999999,0.004272461,-3.299999999,-0.001831055,-3.299999999,0.002441406,-3.299999999,-0.000305176,-3.299999999,0.003967285,-3.299999999,0.001525879,-3.299999999,0.00366481,-2.299999999,0.021478089
38,-3.199999999,0.000305176,-3.199999999,0.003356934,-3.199999999,0.000610352,-3.199999999,-0.001831055,-3.199999999,0.000305176,-3.199999999,0.001831055,-3.199999999,-0.001525879,-3.199999999,0.001220703,-3.199999999,-0.002746582,-3.199999999,0.001220703,-3.199999999,-0.001525879,-3.199999999,0.002136231,-3.199999999,0.000305176,-3.199999999,0.01266722,-2.2,0.017340811
39,-3.1,0.002441406,-3.1,0.003662109,-3.1,0.002136231,-3.1,0,-3.1,0.003356934,-3.1,0.003662109,-3.1,0.001220703,-3.1,0.004272461,-3.1,0,-3.1,0.003967285,-3.1,0.000610352,-3.1,0.005493164,-3.1,0.002746582,-3.1,0.020584231,-2.099999999,0.012271369
40,-3,0,-3,0.002136231,-3,0.001220703,-3,-0.000915527,-3,0.001220703,-3,0.001525879,-3,-0.000915527,-3,0.001831055,-3,-0.002441406,-3,0.000610352,-3,-0.001831055,-3,0.001525879,-3,0.000305176,-3,0.023393495,-1.999999999,0.010905046
41,-2.9,-0.000305176,-2.9,0.002746582,-2.9,-0.000305176,-2.9,0.001525879,-2.9,0.000915527,-2.9,0.000915527,-2.9,-0.000305176,-2.9,0.003051758,-2.9,-0.001525879,-2.9,0.001525879,-2.9,-0.000915527,-2.9,0.003051758,-2.9,0.001525879,-2.9,0.032153286,-1.899999999,0.013752617
42,-2.799999999,0.000610352,-2.799999999,0.003662109,-2.799999999,0.000915527,-2.799999999,-0.002441406,-2.799999999,0.002136231,-2.799999999,0.002136231,-2.799999999,-0.000610352,-2.799999999,0.003662109,-2.799999999,-0.001220703,-2.799999999,0.000915527,-2.799999999,-0.001220703,-2.799999999,0.003051758,-2.799999999,0.001831055,-2.799999999,0.033379145,-1.8,0.020482076
43,-2.7,0.001525879,-2.7,0.003967285,-2.7,0.002441406,-2.7,0.000915527,-2.7,0.002136231,-2.7,0.002746582,-2.7,0.000305176,-2.7,0.004577637,-2.7,0.000305176,-2.7,0.002441406,-2.7,0.000305176,-2.7,0.003356934,-2.7,0.001220703,-2.7,0.033187605,-1.699999999,0.023533957
44,-2.599999999,0,-2.599999999,0.002136231,-2.599999999,0.001220703,-2.599999999,-0.001220703,-2.599999999,0.001525879,-2.599999999,0.002136231,-2.599999999,-0.001525879,-2.599999999,0.001525879,-2.599999999,-0.002441406,-2.599999999,0.000610352,-2.599999999,-0.001831055,-2.599999999,0.002441406,-2.599999999,0.000915527,-2.599999999,0.03288114,-1.6,0.024210734
45,-2.5,0.001831055,-2.5,0.003051758,-2.5,0.002136231,-2.5,0.001831055,-2.5,0.002746582,-2.5,0.003356934,-2.5,0.000610352,-2.5,0.003967285,-2.5,-0.001220703,-2.5,0.001831055,-2.5,0,-2.5,0.003967285,-2.5,0.001831055,-2.5,0.027671235,-1.5,0.029471718
